date,indicator_name,classification1,classification2,close
2025-01-01,消費税を除く国内企業物価指数,品目,生理用品,115.6
2025-01-01,消費税を除く国内企業物価指数,品目,生石灰,138.0
2025-01-01,消費税を除く国内企業物価指数,品目,田植機,110.8
2025-01-01,消費税を除く国内企業物価指数,品目,界面活性剤,132.9
2025-01-01,消費税を除く国内企業物価指数,品目,異性化糖,129.1
2025-01-01,消費税を除く国内企業物価指数,品目,病院用器具,117.0
2025-01-01,消費税を除く国内企業物価指数,品目,発泡酒・新ジャンル,120.7
2025-01-01,消費税を除く国内企業物価指数,品目,白板紙,120.8
2025-01-01,消費税を除く国内企業物価指数,品目,監視制御装置,110.9
2025-01-01,消費税を除く国内企業物価指数,品目,看板・標識機,125.4
2025-01-01,消費税を除く国内企業物価指数,品目,真空ポンプ,108.2
2025-01-01,消費税を除く国内企業物価指数,品目,眼鏡枠・レンズ,106.2
2025-01-01,消費税を除く国内企業物価指数,品目,石けん・身体洗浄剤,107.4
2025-01-01,消費税を除く国内企業物価指数,品目,石こうボード・粘土かわら,150.2
2025-01-01,消費税を除く国内企業物価指数,品目,石工品,116.0
2025-01-01,消費税を除く国内企業物価指数,品目,石油暖房装置,123.0
2025-01-01,消費税を除く国内企業物価指数,品目,石灰石,127.1
2025-01-01,消費税を除く国内企業物価指数,品目,石炭コークス,191.0
2025-01-01,消費税を除く国内企業物価指数,品目,砂利,127.3
2025-01-01,消費税を除く国内企業物価指数,品目,砂糖,140.9
2025-01-01,消費税を除く国内企業物価指数,品目,研削盤,120.1
2025-01-01,消費税を除く国内企業物価指数,品目,研磨材,121.6
2025-01-01,消費税を除く国内企業物価指数,品目,砕石,118.8
2025-01-01,消費税を除く国内企業物価指数,品目,硬質プラスチック発泡製品,134.2
2025-01-01,消費税を除く国内企業物価指数,品目,磁性材部品,109.3
2025-01-01,消費税を除く国内企業物価指数,品目,磨棒鋼,144.8
2025-01-01,消費税を除く国内企業物価指数,品目,穀物処理機械,112.9
2025-01-01,消費税を除く国内企業物価指数,品目,積算体積計,102.6
